id,title,abstract,categories,authors,year,url,doi,journal_ref,primary_category,update_date
704.0033,Convergence of the discrete dipole approximation. I. Theoretical   analysis,"We performed a rigorous theoretical convergence analysis of the discrete dipole approximation (DDA). We prove that errors in any measured quantity are bounded by a sum of a linear and quadratic term in the size of a dipole d, when the latter is in the range of DDA applicability. Moreover, the linear term is significantly smaller for cubically than for non-cubically shaped scatterers. Therefore, for small d errors for cubically shaped particles are much smaller than for non-cubically shaped. The relative importance of the linear term decreases with increasing size, hence convergence of DDA for large enough scatterers is quadratic in the common range of d. Extensive numerical simulations were carried out for a wide range of d. Finally we discuss a number of new developments in DDA and their consequences for convergence.",physics.optics physics.comp-ph,"Maxim A. Yurkin, Valeri P. Maltsev, Alfons G. Hoekstra",2024,https://arxiv.org/abs/0704.0033,10.1364/JOSAA.23.002578 10.1364/JOSAA.32.002407,"J.Opt.Soc.Am.A 23, 2578-2591 (2006); Erratum: J.Opt.Soc.Am.A 32,
  2407-2408 (2015)",physics.optics,
704.0035,Convergence of the discrete dipole approximation. II. An extrapolation   technique to increase the accuracy,"We propose an extrapolation technique that allows accuracy improvement of the discrete dipole approximation computations. The performance of this technique was studied empirically based on extensive simulations for 5 test cases using many different discretizations. The quality of the extrapolation improves with refining discretization reaching extraordinary performance especially for cubically shaped particles. A two order of magnitude decrease of error was demonstrated. We also propose estimates of the extrapolation error, which were proven to be reliable. Finally we propose a simple method to directly separate shape and discretization errors and illustrated this for one test case.",physics.optics physics.comp-ph,"Maxim A. Yurkin, Valeri P. Maltsev, Alfons G. Hoekstra",2024,https://arxiv.org/abs/0704.0035,10.1364/JOSAA.23.002592,J.Opt.Soc.Am.A 23(10): 2592-2601 (2006),physics.optics,
704.0037,The discrete dipole approximation for simulation of light scattering by   particles much larger than the wavelength,"In this manuscript we investigate the capabilities of the Discrete Dipole Approximation (DDA) to simulate scattering from particles that are much larger than the wavelength of the incident light, and describe an optimized publicly available DDA computer program that processes the large number of dipoles required for such simulations. Numerical simulations of light scattering by spheres with size parameters x up to 160 and 40 for refractive index m=1.05 and 2 respectively are presented and compared with exact results of the Mie theory. Errors of both integral and angle-resolved scattering quantities generally increase with m and show no systematic dependence on x. Computational times increase steeply with both x and m, reaching values of more than 2 weeks on a cluster of 64 processors. The main distinctive feature of the computer program is the ability to parallelize a single DDA simulation over a cluster of computers, which allows it to simulate light scattering by very large particles, like the ones that are considered in this manuscript. Current limitations and possible ways for improvement are discussed.",physics.optics physics.comp-ph,"Maxim A. Yurkin, Valeri P. Maltsev, Alfons G. Hoekstra",2024,https://arxiv.org/abs/0704.0037,10.1016/j.jqsrt.2007.01.033,"J.Quant.Spectrosc.Radiat.Transf. 106, 546-557 (2007)",physics.optics,
704.0038,The discrete dipole approximation: an overview and recent developments,"We present a review of the discrete dipole approximation (DDA), which is a general method to simulate light scattering by arbitrarily shaped particles. We put the method in historical context and discuss recent developments, taking the viewpoint of a general framework based on the integral equations for the electric field. We review both the theory of the DDA and its numerical aspects, the latter being of critical importance for any practical application of the method. Finally, the position of the DDA among other methods of light scattering simulation is shown and possible future developments are discussed.",physics.optics physics.comp-ph,"Maxim A. Yurkin, Alfons G. Hoekstra",2024,https://arxiv.org/abs/0704.0038,10.1016/j.jqsrt.2007.01.034 10.1016/j.jqsrt.2015.11.025,"J.Quant.Spectrosc.Radiat.Transf. 106, 558-589 (2007); Erratum:
  J.Quant.Spectrosc.Radiat.Transf. 171, 82-83 (2016)",physics.optics,
704.0047,Intelligent location of simultaneously active acoustic emission sources:   Part I,"The intelligent acoustic emission locator is described in Part I, while Part II discusses blind source separation, time delay estimation and location of two simultaneously active continuous acoustic emission sources.   The location of acoustic emission on complicated aircraft frame structures is a difficult problem of non-destructive testing. This article describes an intelligent acoustic emission source locator. The intelligent locator comprises a sensor antenna and a general regression neural network, which solves the location problem based on learning from examples. Locator performance was tested on different test specimens. Tests have shown that the accuracy of location depends on sound velocity and attenuation in the specimen, the dimensions of the tested area, and the properties of stored data. The location accuracy achieved by the intelligent locator is comparable to that obtained by the conventional triangulation method, while the applicability of the intelligent locator is more general since analysis of sonic ray paths is avoided. This is a promising method for non-destructive testing of aircraft frame structures by the acoustic emission method.",cs.NE cs.AI,T. Kosel and I. Grabec,2024,https://arxiv.org/abs/0704.0047,,,cs.NE,
704.005,Intelligent location of simultaneously active acoustic emission sources:   Part II,"Part I describes an intelligent acoustic emission locator, while Part II discusses blind source separation, time delay estimation and location of two continuous acoustic emission sources.   Acoustic emission (AE) analysis is used for characterization and location of developing defects in materials. AE sources often generate a mixture of various statistically independent signals. A difficult problem of AE analysis is separation and characterization of signal components when the signals from various sources and the mode of mixing are unknown. Recently, blind source separation (BSS) by independent component analysis (ICA) has been used to solve these problems. The purpose of this paper is to demonstrate the applicability of ICA to locate two independent simultaneously active acoustic emission sources on an aluminum band specimen. The method is promising for non-destructive testing of aircraft frame structures by acoustic emission analysis.",cs.NE cs.AI,T. Kosel and I. Grabec,2024,https://arxiv.org/abs/0704.0050,,,cs.NE,
704.0151,Extraction of physical laws from joint experimental data,"The extraction of a physical law y=yo(x) from joint experimental data about x and y is treated. The joint, the marginal and the conditional probability density functions (PDF) are expressed by given data over an estimator whose kernel is the instrument scattering function. As an optimal estimator of yo(x) the conditional average is proposed. The analysis of its properties is based upon a new definition of prediction quality. The joint experimental information and the redundancy of joint measurements are expressed by the relative entropy. With the number of experiments the redundancy on average increases, while the experimental information converges to a certain limit value. The difference between this limit value and the experimental information at a finite number of data represents the discrepancy between the experimentally determined and the true properties of the phenomenon. The sum of the discrepancy measure and the redundancy is utilized as a cost function. By its minimum a reasonable number of data for the extraction of the law yo(x) is specified. The mutual information is defined by the marginal and the conditional PDFs of the variables. The ratio between mutual information and marginal information is used to indicate which variable is the independent one. The properties of the introduced statistics are demonstrated on deterministically and randomly related variables.",physics.data-an physics.comp-ph,I. Grabec,2024,https://arxiv.org/abs/0704.0151,10.1140/epjb/e2005-00391-0,"Eur. Phys. J. - B, 48, 279-289 (2005)",physics.data-an,
704.0162,Estimation of experimental data redundancy and related statistics,"Redundancy of experimental data is the basic statistic from which the complexity of a natural phenomenon and the proper number of experiments needed for its exploration can be estimated. The redundancy is expressed by the entropy of information pertaining to the probability density function of experimental variables. Since the calculation of entropy is inconvenient due to integration over a range of variables, an approximate expression for redundancy is derived that includes only a sum over the set of experimental data about these variables. The approximation makes feasible an efficient estimation of the redundancy of data along with the related experimental information and information cost function. From the experimental information the complexity of the phenomenon can be simply estimated, while the proper number of experiments needed for its exploration can be determined from the minimum of the cost function. The performance of the approximate estimation of these statistics is demonstrated on two-dimensional normally distributed random data.",physics.data-an physics.comp-ph,I. Grabec,2024,https://arxiv.org/abs/0704.0162,,,physics.data-an,
704.0181,Genetic Optimization of Photonic Bandgap Structures,"We investigate the use of a Genetic Algorithm (GA) to design a set of photonic crystals (PCs) in one and two dimensions. Our flexible design methodology allows us to optimize PC structures which are optimized for specific objectives. In this paper, we report the results of several such GA-based PC optimizations. We show that the GA performs well even in very complex design spaces, and therefore has great potential for use as a robust design tool in present and future applications.",physics.optics physics.comp-ph,"Joel Goh, Ilya Fushman, Dirk Englund, and Jelena Vuckovic",2024,https://arxiv.org/abs/0704.0181,10.1364/OE.15.008218,,physics.optics,
704.0191,Intricate Knots in Proteins: Function and Evolution,"A number of recently discovered protein structures incorporate a rather unexpected structural feature: a knot in the polypeptide backbone. These knots are extremely rare, but their occurrence is likely connected to protein function in as yet unexplored fashion. Our analysis of the complete Protein Data Bank reveals several new knots which, along with previously discovered ones, can shed light on such connections. In particular, we identify the most complex knot discovered to date in human ubiquitin hydrolase, and suggest that its entangled topology protects it against unfolding and degradation by the proteasome. Knots in proteins are typically preserved across species and sometimes even across kingdoms. However, we also identify a knot which only appears in some transcarbamylases while being absent in homologous proteins of similar structure. The emergence of the knot is accompanied by a shift in the enzymatic function of the protein. We suggest that the simple insertion of a short DNA fragment into the gene may suffice to turn an unknotted into a knotted structure in this protein.",physics.bio-ph physics.data-an q-bio.BM,"Peter Virnau (1), Leonid A. Mirny (1,2), Mehran Kardar (1) ((1)
  Massachusetts Institute of Technology, Department of Physics, Cambridge, MA,
  United States of America, (2) Massachusetts Institute of Technology,
  Harvard-MIT Division of Health Science and Technology, Cambridge, MA, United
  States of America)",2024,https://arxiv.org/abs/0704.0191,,"P. Virnau, L. A. Mirny, M. Kardar, PLoS Comp Biol 2, 1074-1079
  (2006)",physics.bio-ph,
704.0274,"New version announcement for TaylUR, an arbitrary-order diagonal   automatic differentiation package for Fortran 95","We present a new version of TaylUR, a Fortran 95 module to automatically compute the numerical values of a complex-valued function's derivatives with respect to several variables up to an arbitrary order in each variable, but excluding mixed derivatives. The new version fixes a potentially serious bug in the code for exponential-related functions that could corrupt the imaginary parts of derivatives, as well as being compatible with a wider range of compilers.",physics.comp-ph,Georg M. von Hippel,2024,https://arxiv.org/abs/0704.0274,10.1016/j.cpc.2007.03.008,Comput.Phys.Commun. 176 (2007) 710-711,physics.comp-ph,
