paper_id,title,abstract,image_id,image_path
arxiv.2020.00000,GAN-based Approach for Detection on MNIST,"We propose a novel GAN architecture for detection. Our method achieves state-of-the-art results on MNIST dataset, improving upon previous approaches by 8%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2020.00000_img_0,data/images/samples/arxiv.2020.00000_img_0.png
arxiv.2020.00000,GAN-based Approach for Detection on MNIST,"We propose a novel GAN architecture for detection. Our method achieves state-of-the-art results on MNIST dataset, improving upon previous approaches by 8%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2020.00000_img_1,data/images/samples/arxiv.2020.00000_img_1.png
arxiv.2020.00000,GAN-based Approach for Detection on MNIST,"We propose a novel GAN architecture for detection. Our method achieves state-of-the-art results on MNIST dataset, improving upon previous approaches by 8%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2020.00000_img_2,data/images/samples/arxiv.2020.00000_img_2.png
arxiv.2021.00001,CNN-based Approach for Detection on CIFAR,"We propose a novel CNN architecture for detection. Our method achieves state-of-the-art results on CIFAR dataset, improving upon previous approaches by 13%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2021.00001_img_0,data/images/samples/arxiv.2021.00001_img_0.png
arxiv.2021.00001,CNN-based Approach for Detection on CIFAR,"We propose a novel CNN architecture for detection. Our method achieves state-of-the-art results on CIFAR dataset, improving upon previous approaches by 13%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2021.00001_img_1,data/images/samples/arxiv.2021.00001_img_1.png
arxiv.2021.00001,CNN-based Approach for Detection on CIFAR,"We propose a novel CNN architecture for detection. Our method achieves state-of-the-art results on CIFAR dataset, improving upon previous approaches by 13%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2021.00001_img_2,data/images/samples/arxiv.2021.00001_img_2.png
arxiv.2022.00002,GPT-based Approach for Classification on ImageNet,"We propose a novel GPT architecture for classification. Our method achieves state-of-the-art results on ImageNet dataset, improving upon previous approaches by 8%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2022.00002_img_0,data/images/samples/arxiv.2022.00002_img_0.png
arxiv.2022.00002,GPT-based Approach for Classification on ImageNet,"We propose a novel GPT architecture for classification. Our method achieves state-of-the-art results on ImageNet dataset, improving upon previous approaches by 8%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2022.00002_img_1,data/images/samples/arxiv.2022.00002_img_1.png
arxiv.2022.00002,GPT-based Approach for Classification on ImageNet,"We propose a novel GPT architecture for classification. Our method achieves state-of-the-art results on ImageNet dataset, improving upon previous approaches by 8%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2022.00002_img_2,data/images/samples/arxiv.2022.00002_img_2.png
arxiv.2023.00003,VAE-based Approach for Classification on WikiText,"We propose a novel VAE architecture for classification. Our method achieves state-of-the-art results on WikiText dataset, improving upon previous approaches by 10%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2023.00003_img_0,data/images/samples/arxiv.2023.00003_img_0.png
arxiv.2023.00003,VAE-based Approach for Classification on WikiText,"We propose a novel VAE architecture for classification. Our method achieves state-of-the-art results on WikiText dataset, improving upon previous approaches by 10%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2023.00003_img_1,data/images/samples/arxiv.2023.00003_img_1.png
arxiv.2023.00003,VAE-based Approach for Classification on WikiText,"We propose a novel VAE architecture for classification. Our method achieves state-of-the-art results on WikiText dataset, improving upon previous approaches by 10%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2023.00003_img_2,data/images/samples/arxiv.2023.00003_img_2.png
arxiv.2020.00004,VAE-based Approach for Detection on COCO,"We propose a novel VAE architecture for detection. Our method achieves state-of-the-art results on COCO dataset, improving upon previous approaches by 10%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2020.00004_img_0,data/images/samples/arxiv.2020.00004_img_0.png
arxiv.2020.00004,VAE-based Approach for Detection on COCO,"We propose a novel VAE architecture for detection. Our method achieves state-of-the-art results on COCO dataset, improving upon previous approaches by 10%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2020.00004_img_1,data/images/samples/arxiv.2020.00004_img_1.png
arxiv.2020.00004,VAE-based Approach for Detection on COCO,"We propose a novel VAE architecture for detection. Our method achieves state-of-the-art results on COCO dataset, improving upon previous approaches by 10%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2020.00004_img_2,data/images/samples/arxiv.2020.00004_img_2.png
arxiv.2021.00005,RNN-based Approach for Classification on ImageNet,"We propose a novel RNN architecture for classification. Our method achieves state-of-the-art results on ImageNet dataset, improving upon previous approaches by 13%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2021.00005_img_0,data/images/samples/arxiv.2021.00005_img_0.png
arxiv.2021.00005,RNN-based Approach for Classification on ImageNet,"We propose a novel RNN architecture for classification. Our method achieves state-of-the-art results on ImageNet dataset, improving upon previous approaches by 13%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2021.00005_img_1,data/images/samples/arxiv.2021.00005_img_1.png
arxiv.2021.00005,RNN-based Approach for Classification on ImageNet,"We propose a novel RNN architecture for classification. Our method achieves state-of-the-art results on ImageNet dataset, improving upon previous approaches by 13%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2021.00005_img_2,data/images/samples/arxiv.2021.00005_img_2.png
arxiv.2022.00006,RNN-based Approach for Classification on ImageNet,"We propose a novel RNN architecture for classification. Our method achieves state-of-the-art results on ImageNet dataset, improving upon previous approaches by 3%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2022.00006_img_0,data/images/samples/arxiv.2022.00006_img_0.png
arxiv.2022.00006,RNN-based Approach for Classification on ImageNet,"We propose a novel RNN architecture for classification. Our method achieves state-of-the-art results on ImageNet dataset, improving upon previous approaches by 3%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2022.00006_img_1,data/images/samples/arxiv.2022.00006_img_1.png
arxiv.2022.00006,RNN-based Approach for Classification on ImageNet,"We propose a novel RNN architecture for classification. Our method achieves state-of-the-art results on ImageNet dataset, improving upon previous approaches by 3%. We demonstrate the effectiveness through extensive experiments and provide detailed analysis of the model behavior.",arxiv.2022.00006_img_2,data/images/samples/arxiv.2022.00006_img_2.png
